id	title	type	completionVarbit	x	y	plane	level
0	Charting: Board Port Sarim	GENERIC	18574	3030	3197	0	1
1	Charting: Salvage Station Port Sarim	GENERIC	18575	3029	3205	0	1
2	Spyglass: Wizards Tower	SPYGLASS	18576	3104	3181	0	1
3	Current duck: Fairy Ring	CURRENT_DUCK	18577	3082	3201	0	22
4	Charting: Rock Bay Of Sarim	GENERIC	18578	3079	3231	0	1
5	Charting: Rowboat Bay Of Sarim	GENERIC	18579	3126	3202	0	1
6	Charting: Crunch Poster	GENERIC	18580	2944	3138	0	1
7	Charting: Glider Kharidian Sea	GENERIC	18581	2987	3010	0	1
8	Charting: Rowboat Mudskipper Sound	GENERIC	18582	3054	3051	0	1
9	Current duck: Musa Point	CURRENT_DUCK	18583	2890	3121	0	22
10	Spyglass: Shipyard	SPYGLASS	18584	3008	3049	0	1
11	Drink crate: Prying Times	DRINK_CRATE	18585	3013	2998	0	12
12	Mermaid guide: Kharidian Sea	MERMAID_GUIDE	18586	2988	2949	0	38
13	Current duck: Kharidian Sea	CURRENT_DUCK	18587	3145	2963	0	22
14	Spyglass: The Pandemonium	SPYGLASS	18588	3045	2995	0	1
15	Charting: Pandemonium 2	GENERIC	18589	2973	2994	0	1
16	Charting: Pandemonium 3	GENERIC	18590	3143	2979	0	1
17	Charting: Corpse Lumbridge Basin	GENERIC	18591	3133	3053	0	1
18	Charting: Rock Lumbridge Basin	GENERIC	18592	3182	3136	0	1
19	Spyglass: Lumbridge Mine	SPYGLASS	18593	3145	3134	0	1
20	Current duck: Lumbridge Basin	CURRENT_DUCK	18594	3209	3134	0	22
21	Charting: Rock Rimmington Strait	GENERIC	18595	2905	3281	0	1
22	Charting: Dragon Statue Rimmington Strait	GENERIC	18596	2873	3260	0	1
23	Spyglass: Karamja Volcano	SPYGLASS	18597	2839	3210	0	1
24	Current duck: Rimmington Strait	CURRENT_DUCK	18598	2902	3317	0	22
25	Charting: Thorns Catherby Bay	GENERIC	18599	2897	3335	0	1
26	Charting: Megashrimp Catherby Bay	GENERIC	18600	2760	3364	0	1
27	Spyglass: Keep Le Faye	SPYGLASS	18601	2784	3401	0	1
28	Current duck: Catherby Bay	CURRENT_DUCK	18602	2835	3417	0	22
29	Charting: Wreck Brimhaven Passage	GENERIC	18603	2741	3270	0	1
30	Charting: Bottle Brimhaven Passage	GENERIC	18604	2769	3267	0	1
31	Spyglass: Fishing Platform	SPYGLASS	18605	2779	3265	0	1
32	Current duck: Brimhaven Passage	CURRENT_DUCK	18606	2648	3244	0	22
33	Charting: Rowboat Port Khazard	GENERIC	18607	2702	3151	0	1
34	Charting: Rock Strait Of Khazard	GENERIC	18608	2720	3103	0	1
35	Charting: Sign Strait Of Khazard	GENERIC	18609	2681	3134	0	1
36	Spyglass: Two Towers	SPYGLASS	18610	2664	3219	0	1
37	Current duck: Strait Of Khazard	CURRENT_DUCK	18611	2664	3172	0	22
38	Drink crate: Smuggled Rum	DRINK_CRATE	18612	2994	3134	0	12
39	Drink crate: Sorodamin Bru	DRINK_CRATE	18613	3277	3135	0	12
40	Drink crate: Marrow Wine	DRINK_CRATE	18614	2869	3378	0	12
41	Drink crate: Slug Balm	DRINK_CRATE	18615	2674	3103	0	12
42	Weather station: Rimmington Strait	WEATHER	18616	2912	3213	0	57
43	Weather station: Strait Of Khazard	WEATHER	18617	2656	3195	0	57
44	Mermaid guide: Mudskipper Sound	MERMAID_GUIDE	18618	2979	3085	0	38
